Part_Number,Part_Name,Part_Category,Rank,Criticality_Level,Unit_Price_IDR,Supplier_Location,Standard_Leadtime_SeaFreight_Days,Alt_Leadtime_AirFreight_Days,Sector_Sensitivity
SC-FUE-0001,Fuel System - 0001,Fuel System,A,Medium,3324000.0,Scania Principal - Belgium (Leuven DC),121,32,Agriculture
SC-FLT-0001,Filter - 0001,Filter,B,Medium,352000.0,Scania Principal - Belgium (Leuven DC),125,31,General
SC-HYD-0001,Hydraulic System - 0001,Hydraulic System,B,Medium,5643000.0,Scania Principal - Belgium (Leuven DC),127,31,Mining-Coal
SC-CLG-0001,Cooling System - 0001,Cooling System,C,medium,2124000.0,Scania Principal - Belgium (Leuven DC),116,29,Construction
SC-TRN-0001,Transmission - 0001,Transmission,B,MEDIUM,16009000.0,Scania Principal - Belgium (Leuven DC),119,32,Forestry
SC-SUS-0001,Suspension & Chassis - 0001,Suspension & Chassis,B,High,9175000.0,Scania Principal - Belgium (Leuven DC),127,29,Agriculture
SC-ENG-0001,Engine Component - 0001,Engine Component,C,Low,14651000.0,Scania Principal - Belgium (Leuven DC),128,28,Mining-Coal
SC-ENG-0002,Engine Component - 0002,Engine Component,A,Critical,57337000.0,Scania Regional Warehouse - Singapore,39,8,Mining-Nickel
SC-HYD-0002,Hydraulic System - 0002,Hydraulic System,C,Low,,Scania Principal - Belgium (Leuven DC),128,29,Mining-Coal
SC-SUS-0002,Suspension & Chassis - 0002,Suspension & Chassis,A,Medium,6987000.0,Scania Principal - Belgium (Leuven DC),125,28,Construction
SC-HYD-0003,Hydraulic System - 0003,Hydraulic System,B,LOW,4507000.0,Scania Principal - Belgium (Leuven DC),126,28,Mining-Coal
SC-FUE-0002,Fuel System - 0002,Fuel System, B ,high,4376000.0,Scania Principal - Belgium (Leuven DC),117,30,Agriculture
SC-FLT-0002,Filter - 0002,Filter,B,High,864000.0,Scania Principal - Belgium (Leuven DC),128,28,Agriculture
SC-SUS-0003,Suspension & Chassis - 0003,Suspension & Chassis,C,Medium,7785000.0,Scania Regional Warehouse - Singapore,43,8,Construction
SC-TWA-0001,Tire & Wheel Accessories - 0001,Tire & Wheel Accessories,B,High,1392000.0,Scania Principal - Belgium (Leuven DC),120,28,Construction
SC-FLT-0003,Filter - 0003,Filter,B,medium,794000.0,Scania Regional Warehouse - Singapore,38,7,Agriculture
SC-ENG-0003,Engine Component - 0003,Engine Component,c,High,33413000.0,Scania Principal - Belgium (Leuven DC),117,31,General
SC-SUS-0004,Suspension & Chassis - 0004,Suspension & Chassis,a,critical,12425000.0,Scania Regional Warehouse - Singapore,36,12,Forestry
SC-FLT-0004,Filter - 0004,Filter,C,Medium,434000.0,Scania Principal - Belgium (Leuven DC),124,30,General
SC-HYD-0004,Hydraulic System - 0004,Hydraulic System,A,High,9000000.0,Scania Regional Warehouse - Singapore,43,9,Construction
SC-FLT-0005,Filter - 0005,Filter,A,HIGH,805000.0,Scania Principal - Belgium (Leuven DC),127,31,Construction
SC-BRK-0001,Brake System - 0001,Brake System, C ,medium,,Scania Regional Warehouse - Singapore,44,8,General
SC-SUS-0005,Suspension & Chassis - 0005,Suspension & Chassis,C, Medium ,11213000.0,Scania Regional Warehouse - Singapore,45,7,Mining-Coal
SC-BRK-0002,Brake System - 0002,Brake System,C,High,7875000.0,Scania Principal - Belgium (Leuven DC),116,31,Construction
