Branch_ID,Part_Number,Year,Month,Actual_Demand_Qty
KDI,SC-ELC-0007,2022,6,
PKU,SC-SUS-0022,2024,8,11.0
BKL,SC-FUE-0003,2021,4,3.0
PKU,SC-HYD-0013,2020,12,10.0
AMQ,SC-HYD-0001,2020,2,0.0
BTH,SC-CLG-0001,2024,10,0.0
KDI,SC-TRN-0015,2024,12,0.0
BPP,SC-TRN-0009,2020,11,0.0
PTK,SC-SUS-0002,2024,1,
MTR,SC-TRN-0004,2020,7,65.0
SMG,SC-ENG-0001,2023,2,7.0
DPS,SC-ENG-0013,2022,6,0.0
SGT,SC-TWA-0012,2022,1,1.0
LHK,SC-HYD-0002,2021,2,0.0
PLB,SC-HYD-0005,2023,11,0.0
PTK,SC-ENG-0006,2022,7,9.0
GTO,SC-ENG-0012,2024,2,-39.0
SBY,SC-FUE-0013,2022,6,0.0
MKS,SC-SUS-0021,2022,12,77.0
PDG,SC-ELC-0002,2022,5,10.0
JAY,SC-SUS-0005,2022,1,0.0
CRB,SC-ENG-0006,2023,7,0.0
JAY,SC-FLT-0008,2024,1,13.0
SMD,SC-SUS-0001,2023,2,2.0
SMG,SC-ELC-0009,2022,12,91.0
MLG,SC-HYD-0004,2022,7,56.0
MDN,SC-BRK-0006,2023,7,0.0
MLG,SC-TRN-0004,2024,12,261.0
PLB,SC-HYD-0015,2022,9,6.0
PDG,SC-BRK-0004,2020,9,0.0
SMG,SC-FLT-0008,2022,6,17.0
SMG,SC-FLT-0013,2020,12,8.0
BPN2,SC-TRN-0011,2023,9,4.0
BTH,SC-SUS-0017,2020,3,0.0
GTO,SC-FLT-0005,2024,1,57.0
SMD,SC-HYD-0007,2022,1,0.0
SOQ,SC-SUS-0008,2020,2,17.0
BPP,SC-FLT-0013,2021,12,11.0
LPG,SC-SUS-0016,2024,8,30.0
MDN,SC-TWA-0011,2022,3,0.0
LHK,SC-ELC-0005,2020,7,0.0
YGY,SC-ENG-0005,2021,9,51.0
JKT,SC-SUS-0019,2023,10,13.0
MRK,SC-BRK-0006,2021,5,6.0
MND,SC-SUS-0001,2021,5,2.0
JKT,SC-TWA-0012,2022,10,0.0
CRB,SC-TRN-0015,2020,5,0.0
PLB,SC-ENG-0002,2024,4,29.0
MRK,SC-FLT-0004,2021,6,0.0
BDG,SC-SUS-0016,2022,6,29.0
JKT,SC-BRK-0005,2021,10,24.0
PLB,SC-ENG-0013,2022,6,0.0
KDI,SC-SUS-0003,2023,5,81.0
PDG,SC-BRK-0005,2023,12,13.0
BPN2,SC-ENG-0009,2020,2,0.0
CRB,SC-TRN-0007,2022,6,0.0
LPG,SC-FLT-0009,2021,3,8.0
PDG,SC-TWA-0007,2023,10,0.0
PLB,SC-TRN-0011,2024,8,0.0
SGT,SC-FLT-0001,2024,3,11.0
JKT,SC-HYD-0006,2021,5,16.0
TRK,SC-TWA-0006,2023,5,0.0
SMD,SC-SUS-0002,2022,5,
GTO,SC-SUS-0016,2020,1,38.0
CRB,SC-ELC-0002,2023,4,26.0
MRK,SC-FLT-0011,2024,1,
SRG,SC-TWA-0004,2020,6,0.0
LPG,SC-FUE-0006,2023,11,0.0
YGY,SC-SUS-0022,2023,4,19.0
LHK,SC-BRK-0012,2023,5,10.0
AMQ,SC-HYD-0013,2024,4,0.0
BTH,SC-SUS-0017,2021,1,2.0
MND,SC-TRN-0014,2022,12,57.0
MRK,SC-HYD-0014,2021,6,77.0
KDI,SC-FUE-0012,2020,8,1.0
BJM,SC-ENG-0012,2022,11,25.0
PDG,SC-TRN-0002,2023,4,23.0
SBY,SC-FLT-0006,2023,1,24.0
KDI,SC-ENG-0011,2024,1,0.0
SBY,SC-ENG-0002,2024,9,47.0
PLU,SC-FLT-0008,2020,5,18.0
BPP,SC-TRN-0009,2021,6,0.0
JKT,SC-BRK-0013,2021,6,45.0
CRB,SC-TWA-0010,2023,4,33.0
MND,SC-TRN-0002,2021,4,10.0
BPN2,SC-TWA-0006,2024,8,0.0
BDG,SC-ENG-0004,2023,12,19.0
LHK,SC-FUE-0008,2022,6,0.0
PDG,SC-ELC-0011,2023,8,97.0
BPN2,SC-TWA-0009,2021,8,6.0
TRK,SC-SUS-0018,2020,8,16.0
LPG,SC-SUS-0013,2021,2,0.0
MLG,SC-BRK-0005,2023,8,38.0
DPS,SC-ENG-0003,2020,10,0.0
JAY,SC-TWA-0012,2023,12,0.0
BTH,SC-FUE-0005,2023,3,7.0
JKT,SC-TRN-0005,2022,6,0.0
PTK,SC-SUS-0024,2021,5,70.0
MTR,SC-SUS-0023,2023,7,11.0
MRK,SC-ENG-0007,2020,2,21.0
PDG,SC-ENG-0001,2022,7,7.0
LHK,SC-HYD-0015,2022,7,0.0
SBY,SC-HYD-0012,2023,7,8.0
PTK,SC-FLT-0014,2022,8,0.0
LHK,SC-SUS-0013,2024,9,0.0
CRB,SC-CLG-0001,2023,9,0.0
SMD,SC-ELC-0003,2022,8,6.0
SRG,SC-SUS-0009,2022,5,0.0
MKS,SC-SUS-0022,2022,8,49.0
JMB,SC-FLT-0009,2021,9,4.0
PDG,SC-FUE-0003,2024,7,6.0
MLG,SC-SUS-0002,2023,10,40.0
PTK,SC-FUE-0006,2024,8,0.0
PLB,SC-FUE-0009,2023,12,1.0
CRB,SC-TRN-0014,2024,11,72.0
MLG,SC-TRN-0016,2021,12,9.0
DPS,SC-BRK-0010,2022,3,18.0
BKL,SC-BRK-0010,2023,7,9.0
BDG,SC-CLG-0005,2023,3,0.0
PLB,SC-SUS-0012,2021,11,2.0
AMQ,SC-ENG-0007,2021,6,19.0
JAY,SC-BRK-0003,2022,7,109.0
MTR,SC-CLG-0007,2020,4,26.0
SMG,SC-TWA-0008,2020,5,0.0
BKL,SC-BRK-0009,2020,9,0.0
GTO,SC-ENG-0010,2024,11,0.0
AMQ,SC-BRK-0008,2024,3,0.0
PLB,SC-SUS-0012,2021,4,10.0
KPG,SC-FUE-0004,2021,1,18.0
BTH,SC-SUS-0019,2023,10,0.0
BJM,SC-SUS-0015,2020,3,0.0
SMD,SC-FLT-0001,2021,8,0.0
TRK,SC-FLT-0001,2022,9,9.0
MTR,SC-SUS-0007,2024,2,43.0
LPG,SC-ENG-0014,2022,6,0.0
BTH,SC-ELC-0002,2023,3,13.0
TRK,SC-BRK-0013,2022,10,31.0
PTK,SC-TRN-0006,2024,2,0.0
JMB,SC-TRN-0005,2020,5,0.0
DPS,SC-ELC-0004,2021,6,0.0
PKU,SC-HYD-0002,2024,11,5.0
MTR,SC-TRN-0014,2024,5,
PTK,SC-ENG-0001,2020,4,46.0
TRK,SC-TWA-0011,2022,8,0.0
YGY,SC-SUS-0001,2021,5,13.0
SBY,SC-SUS-0023,2023,9,0.0
YGY,SC-SUS-0017,2020,2,10.0
BPN2,SC-SUS-0008,2020,10,45.0
MND,SC-HYD-0001,2024,7,42.0
PTK,SC-FUE-0010,2020,9,28.0
BPN2,SC-SUS-0017,2024,12,0.0
MKS,SC-TRN-0017,2023,5,0.0
