Part_Number,Year,Month,Raw_Forecast,PSC_Adjustment_Amount,Final_Order_Quantity,Adjustment_Reason
SC-FUE-0001,2020,1,237,0,237,
SC-FUE-0001,2020,2,299,0,299,
SC-FUE-0001,2020,3,509,69,578,Lead time consideration
SC-FUE-0001,2020,4,568,133,701,Critical part requirement
SC-FUE-0001,2020,5,859,-290,569,Customer demand expectation
SC-FUE-0001,2020,6,846,0,846,No adjustment
SC-FUE-0001,2020,7,1117,-341,776,Customer demand expectation
SC-FUE-0001,2020,8,895,0,895,
SC-FUE-0001,2020,9,1165,-132,1033,
SC-FUE-0001,2020,10,928,131,1059,Customer demand expectation
SC-FUE-0001,2020,11,1215,0,1215,No adjustment
SC-FUE-0001,2020,12,1122,0,1122,No adjustment
SC-FUE-0001,2021,1,1451,348,1799,Customer demand expectation
SC-FUE-0001,2021,2,1290,0,1290,No adjustment
SC-FUE-0001,2021,3,893,-346,547,Inventory consideration
SC-FUE-0001,2021,4,910,0,910,
SC-FUE-0001,2021,5,874,0,874,No adjustment
SC-FUE-0001,2021,6,1015,0,1015,No adjustment
SC-FUE-0001,2021,7,1092,134,1226,Critical part requirement
SC-FUE-0001,2021,8,1261,-281,980,Inventory consideration
SC-FUE-0001,2021,9,1097,0,1097,No adjustment
SC-FUE-0001,2021,10,1061,0,1061,No adjustment
SC-FUE-0001,2021,11,811,-137,674,Customer demand expectation
SC-FUE-0001,2021,12,1093,212,1305,Customer demand expectation
SC-FUE-0001,2022,1,1240,504,1744,Customer demand expectation
SC-FUE-0001,2022,2,893,0,893,
SC-FUE-0001,2022,3,411,-61,350,
SC-FUE-0001,2022,4,656,0,656,No adjustment
SC-FUE-0001,2022,5,802,0,802,
SC-FUE-0001,2022,6,1049,-153,896,Customer demand expectation
SC-FUE-0001,2022,7,1221,0,1221,
SC-FUE-0001,2022,8,2070,0,2070,No adjustment
SC-FUE-0001,2022,9,1624,0,1624,
SC-FUE-0001,2022,10,1424,-286,1138,Customer demand expectation
SC-FUE-0001,2022,11,1080,410,1490,Customer demand expectation
SC-FUE-0001,2022,12,743,321,1064,Customer demand expectation
SC-FUE-0001,2023,1,1136,0,1136,No adjustment
SC-FUE-0001,2023,2,874,289,1163,
SC-FUE-0001,2023,3,969,0,969,No adjustment
SC-FUE-0001,2023,4,852,380,1232,Lead time consideration
SC-FUE-0001,2023,5,1224,-475,749,Inventory consideration
SC-FUE-0001,2023,6,1101,-252,849,Customer demand expectation
SC-FUE-0001,2023,7,1134,0,1134,
SC-FUE-0001,2023,8,1298,395,1693,Customer demand expectation
SC-FUE-0001,2023,9,1033,0,1033,
SC-FUE-0001,2023,10,760,0,760,No adjustment
SC-FUE-0001,2023,11,982,-185,797,
SC-FUE-0001,2023,12,1376,-486,890,Customer demand expectation
SC-FUE-0001,2024,1,1211,0,1211,
SC-FUE-0001,2024,2,1126,189,1315,
SC-FUE-0001,2024,3,1057,0,1057,No adjustment
SC-FUE-0001,2024,4,1013,-176,837,Customer demand expectation
SC-FUE-0001,2024,5,1023,0,1023,
SC-FUE-0001,2024,6,1231,0,1231,No adjustment
SC-FUE-0001,2024,7,1394,501,1895,Lead time consideration
SC-FUE-0001,2024,8,828,0,828,No adjustment
SC-FUE-0001,2024,9,977,-119,858,Customer demand expectation
SC-FUE-0001,2024,10,985,-145,840,Inventory consideration
SC-FUE-0001,2024,11,1061,423,1484,Critical part requirement
SC-FUE-0001,2024,12,936,0,936,
SC-FLT-0001,2020,1,509,0,509,
SC-FLT-0001,2020,2,533,-79,454,Inventory consideration
SC-FLT-0001,2020,3,425,-173,252,Inventory consideration
SC-FLT-0001,2020,4,476,88,564,
SC-FLT-0001,2020,5,225,0,225,
SC-FLT-0001,2020,6,478,0,478,No adjustment
SC-FLT-0001,2020,7,633,0,633,No adjustment
SC-FLT-0001,2020,8,408,0,408,No adjustment
SC-FLT-0001,2020,9,578,178,756,Critical part requirement
SC-FLT-0001,2020,10,366,0,366,
SC-FLT-0001,2020,11,119,-48,71,Inventory consideration
SC-FLT-0001,2020,12,390,-84,306,Inventory consideration
SC-FLT-0001,2021,1,472,-150,322,Customer demand expectation
SC-FLT-0001,2021,2,576,257,833,Lead time consideration
SC-FLT-0001,2021,3,365,-151,214,Customer demand expectation
SC-FLT-0001,2021,4,281,-73,208,Inventory consideration
SC-FLT-0001,2021,5,113,0,113,No adjustment
SC-FLT-0001,2021,6,368,131,499,Lead time consideration
SC-FLT-0001,2021,7,421,142,563,Critical part requirement
SC-FLT-0001,2021,8,363,0,363,No adjustment
SC-FLT-0001,2021,9,645,117,762,Critical part requirement
SC-FLT-0001,2021,10,595,75,670,Lead time consideration
SC-FLT-0001,2021,11,674,-242,432,Inventory consideration
SC-FLT-0001,2021,12,592,-100,492,Inventory consideration
SC-FLT-0001,2022,1,393,-58,335,Customer demand expectation
SC-FLT-0001,2022,2,718,-172,546,Customer demand expectation
SC-FLT-0001,2022,3,535,195,730,
SC-FLT-0001,2022,4,316,-82,234,Customer demand expectation
SC-FLT-0001,2022,5,598,210,808,Lead time consideration
SC-FLT-0001,2022,6,313,0,313,
SC-FLT-0001,2022,7,577,196,773,Customer demand expectation
SC-FLT-0001,2022,8,267,0,267,
SC-FLT-0001,2022,9,384,0,384,
SC-FLT-0001,2022,10,358,149,507,Critical part requirement
SC-FLT-0001,2022,11,250,50,300,Critical part requirement
SC-FLT-0001,2022,12,368,-155,213,Customer demand expectation
SC-FLT-0001,2023,1,1034,456,1490,Lead time consideration
SC-FLT-0001,2023,2,700,136,836,Lead time consideration
SC-FLT-0001,2023,3,678,0,678,
SC-FLT-0001,2023,4,581,250,831,Lead time consideration
SC-FLT-0001,2023,5,319,0,319,No adjustment
SC-FLT-0001,2023,6,283,96,379,Lead time consideration
SC-FLT-0001,2023,7,379,122,501,Critical part requirement
SC-FLT-0001,2023,8,259,112,371,Critical part requirement
SC-FLT-0001,2023,9,518,-95,423,Customer demand expectation
SC-FLT-0001,2023,10,455,-195,260,Customer demand expectation
SC-FLT-0001,2023,11,521,80,601,Customer demand expectation
SC-FLT-0001,2023,12,416,0,416,No adjustment
SC-FLT-0001,2024,1,261,-109,152,Customer demand expectation
SC-FLT-0001,2024,2,451,-65,386,Inventory consideration
SC-FLT-0001,2024,3,703,207,910,Critical part requirement
SC-FLT-0001,2024,4,616,-190,426,Inventory consideration
SC-FLT-0001,2024,5,541,-76,465,Inventory consideration
SC-FLT-0001,2024,6,377,90,467,Customer demand expectation
SC-FLT-0001,2024,7,463,-110,353,Inventory consideration
SC-FLT-0001,2024,8,568,0,568,
SC-FLT-0001,2024,9,523,-126,397,Inventory consideration
SC-FLT-0001,2024,10,363,-163,200,Customer demand expectation
SC-FLT-0001,2024,11,455,0,455,No adjustment
SC-FLT-0001,2024,12,336,0,336,
SC-HYD-0001,2020,1,615,0,615,
SC-HYD-0001,2020,2,651,174,825,Customer demand expectation
SC-HYD-0001,2020,3,698,0,698,No adjustment
SC-HYD-0001,2020,4,401,0,401,
SC-HYD-0001,2020,5,557,-221,336,Customer demand expectation
SC-HYD-0001,2020,6,489,0,489,
SC-HYD-0001,2020,7,706,0,706,
SC-HYD-0001,2020,8,803,0,803,No adjustment
SC-HYD-0001,2020,9,430,0,430,
SC-HYD-0001,2020,10,644,-111,533,Customer demand expectation
SC-HYD-0001,2020,11,607,-164,443,Customer demand expectation
SC-HYD-0001,2020,12,996,358,1354,Customer demand expectation
SC-HYD-0001,2021,1,637,211,848,Critical part requirement
SC-HYD-0001,2021,2,1017,-355,662,Inventory consideration
SC-HYD-0001,2021,3,401,-86,315,Customer demand expectation
