Year,Month,Coal_Price_Index,Nickel_Price_Index,Construction_PMI,Fuel_Price_Index,USD_IDR_Rate,GDP_Growth_YoY_Pct
2020,1,85.12,112.46,45.29,98.38,13958.0,1.35
2020,2,94.85,121.25,49.39,97.82,13929.0,2.79
2020,3,99.46,132.25,48.62,100.41,14053.0,3.26
2020,4,109.97,110.99,47.95,99.4,14030.0,4.14
2020,5,105.88,108.77,48.95,101.31,14151.0,3.95
2020,6,98.8,92.02,47.64,99.23,14047.0,5.17
2020,7,97.28,93.8,50.12,104.49,13935.0,5.39
2020,8,92.11,77.32,48.83,102.91,14209.0,4.57
2020,9,91.11,92.44,47.86,98.17,14417.0,4.35
2020,10,90.04,96.73,46.23,107.07,14244.0,4.49
2020,11,90.55,107.55,45.64,100.5,14044.0,4.74
2020,12,101.14,108.19,49.94,102.29,14071.0,4.7
2021,1,119.09,121.24,51.54,107.05,14400.0,5.19
2021,2,113.87,135.96,51.74,101.52,14246.0,4.9
2021,3,105.79,117.0,52.35,110.38,14279.0,5.84
2021,4,115.05,117.36,52.81,97.52,14243.0,5.86
2021,5,114.43,113.28,53.54,96.13,14419.0,5.7
2021,6,117.54,112.83,47.78,105.77,14361.0,4.94
2021,7,110.4,101.22,48.71,101.09,14239.0,5.29
2021,8,95.26,99.65,49.74,105.94,14330.0,4.42
2021,9,94.93,91.42,44.73,103.47,14371.0,4.99
2021,10,93.2,102.94,48.18,105.4,14372.0,4.13
2021,11,91.32,107.79,49.59,107.47,14514.0,4.51
2021,12,104.88,121.12,51.23,107.2,14373.0,5.0
2022,1,114.43,131.89,55.36,106.44,14437.0,4.69
2022,2,114.61,130.42,53.77,106.08,14664.0,4.68
2022,3,125.82,141.27,53.26,107.16,14694.0,5.28
2022,4,131.17,127.25,53.31,106.05,14730.0,5.36
2022,5,113.88,115.53,53.02,111.94,14602.0,5.29
2022,6,117.34,102.91,50.14,105.51,14664.0,5.29
2022,7,112.97,108.69,47.74,109.83,14520.0,4.98
2022,8,107.63,102.51,47.78,110.3,14550.0,4.76
2022,9,93.02,99.63,48.17,104.27,14491.0,4.3
2022,10,96.57,101.7,51.5,110.86,14710.0,4.36
2022,11,102.56,124.17,49.18,113.6,14752.0,4.69
2022,12,114.54,129.14,50.77,109.84,14760.0,4.46
2023,1,127.23,144.07,51.17,112.82,14687.0,4.65
2023,2,125.88,142.2,56.42,110.9,14702.0,5.23
2023,3,135.86,149.0,55.45,111.88,14855.0,6.1
2023,4,129.43,133.81,55.79,114.26,14679.0,6.15
2023,5,125.49,134.39,54.27,111.5,14821.0,4.72
2023,6,126.6,120.17,51.05,114.0,14943.0,5.11
2023,7,122.02,100.24,50.97,107.94,14894.0,4.95
2023,8,116.7,103.99,48.11,113.2,14901.0,4.7
2023,9,99.8,117.9,49.91,107.88,14932.0,4.54
2023,10,98.29,117.81,51.41,112.25,14948.0,4.31
2023,11,115.54,123.45,54.62,111.75,14907.0,4.5
2023,12,103.42,137.87,50.95,115.34,14773.0,4.39
2024,1,121.13,152.5,55.69,113.13,14774.0,4.5
2024,2,126.44,151.61,56.33,120.28,15007.0,4.91
2024,3,141.27,146.6,53.75,113.82,14977.0,5.42
2024,4,135.8,131.23,55.55,112.12,15202.0,5.68
2024,5,134.74,142.2,56.21,109.34,15055.0,6.13
2024,6,126.88,117.05,51.78,115.82,15277.0,5.04
2024,7,117.35,121.91,51.92,115.19,14997.0,5.29
2024,8,115.0,103.71,49.95,118.81,15245.0,4.72
2024,9,103.49,112.49,50.33,119.42,15172.0,4.45
2024,10,102.89,118.18,49.13,119.41,15278.0,4.7
2024,11,109.81,138.98,51.48,114.64,15077.0,4.52
2024,12,117.86,141.09,53.6,113.97,15104.0,4.51
