Part_Number,Year,Month,Raw_Forecast_Demand
SC-FUE-0001,2020,1,237
SC-FUE-0001,2020,2,299
SC-FUE-0001,2020,3,509
SC-FUE-0001,2020,4,568
SC-FUE-0001,2020,5,859
SC-FUE-0001,2020,6,846
SC-FUE-0001,2020,7,1117
SC-FUE-0001,2020,8,895
SC-FUE-0001,2020,9,1165
SC-FUE-0001,2020,10,928
SC-FUE-0001,2020,11,1215
SC-FUE-0001,2020,12,1122
SC-FUE-0001,2021,1,1451
SC-FUE-0001,2021,2,1290
SC-FUE-0001,2021,3,893
SC-FUE-0001,2021,4,910
SC-FUE-0001,2021,5,874
SC-FUE-0001,2021,6,1015
SC-FUE-0001,2021,7,1092
SC-FUE-0001,2021,8,1261
SC-FUE-0001,2021,9,1097
SC-FUE-0001,2021,10,1061
SC-FUE-0001,2021,11,811
SC-FUE-0001,2021,12,1093
SC-FUE-0001,2022,1,1240
SC-FUE-0001,2022,2,893
SC-FUE-0001,2022,3,411
SC-FUE-0001,2022,4,656
SC-FUE-0001,2022,5,802
SC-FUE-0001,2022,6,1049
SC-FUE-0001,2022,7,1221
SC-FUE-0001,2022,8,2070
SC-FUE-0001,2022,9,1624
SC-FUE-0001,2022,10,1424
SC-FUE-0001,2022,11,1080
SC-FUE-0001,2022,12,743
SC-FUE-0001,2023,1,1136
SC-FUE-0001,2023,2,874
SC-FUE-0001,2023,3,969
SC-FUE-0001,2023,4,852
SC-FUE-0001,2023,5,1224
SC-FUE-0001,2023,6,1101
SC-FUE-0001,2023,7,1134
SC-FUE-0001,2023,8,1298
SC-FUE-0001,2023,9,1033
SC-FUE-0001,2023,10,760
SC-FUE-0001,2023,11,982
SC-FUE-0001,2023,12,1376
SC-FUE-0001,2024,1,1211
SC-FUE-0001,2024,2,1126
SC-FUE-0001,2024,3,1057
SC-FUE-0001,2024,4,1013
SC-FUE-0001,2024,5,1023
SC-FUE-0001,2024,6,1231
SC-FUE-0001,2024,7,1394
SC-FUE-0001,2024,8,828
SC-FUE-0001,2024,9,977
SC-FUE-0001,2024,10,985
SC-FUE-0001,2024,11,1061
SC-FUE-0001,2024,12,936
SC-FLT-0001,2020,1,509
SC-FLT-0001,2020,2,533
SC-FLT-0001,2020,3,425
SC-FLT-0001,2020,4,476
SC-FLT-0001,2020,5,225
SC-FLT-0001,2020,6,478
SC-FLT-0001,2020,7,633
SC-FLT-0001,2020,8,408
SC-FLT-0001,2020,9,578
SC-FLT-0001,2020,10,366
SC-FLT-0001,2020,11,119
SC-FLT-0001,2020,12,390
SC-FLT-0001,2021,1,472
SC-FLT-0001,2021,2,576
SC-FLT-0001,2021,3,365
SC-FLT-0001,2021,4,281
SC-FLT-0001,2021,5,113
SC-FLT-0001,2021,6,368
SC-FLT-0001,2021,7,421
SC-FLT-0001,2021,8,363
SC-FLT-0001,2021,9,645
SC-FLT-0001,2021,10,595
SC-FLT-0001,2021,11,674
SC-FLT-0001,2021,12,592
SC-FLT-0001,2022,1,393
SC-FLT-0001,2022,2,718
SC-FLT-0001,2022,3,535
SC-FLT-0001,2022,4,316
SC-FLT-0001,2022,5,598
SC-FLT-0001,2022,6,313
SC-FLT-0001,2022,7,577
SC-FLT-0001,2022,8,267
SC-FLT-0001,2022,9,384
SC-FLT-0001,2022,10,358
SC-FLT-0001,2022,11,250
SC-FLT-0001,2022,12,368
SC-FLT-0001,2023,1,1034
SC-FLT-0001,2023,2,700
SC-FLT-0001,2023,3,678
SC-FLT-0001,2023,4,581
SC-FLT-0001,2023,5,319
SC-FLT-0001,2023,6,283
SC-FLT-0001,2023,7,379
SC-FLT-0001,2023,8,259
SC-FLT-0001,2023,9,518
SC-FLT-0001,2023,10,455
SC-FLT-0001,2023,11,521
SC-FLT-0001,2023,12,416
SC-FLT-0001,2024,1,261
SC-FLT-0001,2024,2,451
SC-FLT-0001,2024,3,703
SC-FLT-0001,2024,4,616
SC-FLT-0001,2024,5,541
SC-FLT-0001,2024,6,377
SC-FLT-0001,2024,7,463
SC-FLT-0001,2024,8,568
SC-FLT-0001,2024,9,523
SC-FLT-0001,2024,10,363
SC-FLT-0001,2024,11,455
SC-FLT-0001,2024,12,336
SC-HYD-0001,2020,1,615
SC-HYD-0001,2020,2,651
SC-HYD-0001,2020,3,698
SC-HYD-0001,2020,4,401
SC-HYD-0001,2020,5,557
SC-HYD-0001,2020,6,489
SC-HYD-0001,2020,7,706
SC-HYD-0001,2020,8,803
SC-HYD-0001,2020,9,430
SC-HYD-0001,2020,10,644
SC-HYD-0001,2020,11,607
SC-HYD-0001,2020,12,996
SC-HYD-0001,2021,1,637
SC-HYD-0001,2021,2,1017
SC-HYD-0001,2021,3,401
SC-HYD-0001,2021,4,572
SC-HYD-0001,2021,5,514
SC-HYD-0001,2021,6,556
SC-HYD-0001,2021,7,919
SC-HYD-0001,2021,8,554
SC-HYD-0001,2021,9,494
SC-HYD-0001,2021,10,564
SC-HYD-0001,2021,11,821
SC-HYD-0001,2021,12,604
SC-HYD-0001,2022,1,380
SC-HYD-0001,2022,2,483
SC-HYD-0001,2022,3,962
SC-HYD-0001,2022,4,631
SC-HYD-0001,2022,5,925
SC-HYD-0001,2022,6,889
SC-HYD-0001,2022,7,767
SC-HYD-0001,2022,8,767
SC-HYD-0001,2022,9,578
SC-HYD-0001,2022,10,670
SC-HYD-0001,2022,11,725
SC-HYD-0001,2022,12,924
SC-HYD-0001,2023,1,662
SC-HYD-0001,2023,2,647
SC-HYD-0001,2023,3,922
SC-HYD-0001,2023,4,1169
SC-HYD-0001,2023,5,1069
SC-HYD-0001,2023,6,863
SC-HYD-0001,2023,7,1132
SC-HYD-0001,2023,8,733
SC-HYD-0001,2023,9,896
SC-HYD-0001,2023,10,890
SC-HYD-0001,2023,11,795
SC-HYD-0001,2023,12,437
SC-HYD-0001,2024,1,427
SC-HYD-0001,2024,2,844
SC-HYD-0001,2024,3,1054
SC-HYD-0001,2024,4,882
SC-HYD-0001,2024,5,699
SC-HYD-0001,2024,6,1201
SC-HYD-0001,2024,7,873
SC-HYD-0001,2024,8,774
SC-HYD-0001,2024,9,965
SC-HYD-0001,2024,10,703
SC-HYD-0001,2024,11,746
SC-HYD-0001,2024,12,1033
SC-CLG-0001,2020,1,15
SC-CLG-0001,2020,2,50
SC-CLG-0001,2020,3,13
SC-CLG-0001,2020,4,11
SC-CLG-0001,2020,5,65
SC-CLG-0001,2020,6,55
