Branch_ID,Part_Number,Rank,Sector_Match,WAPE_Croston
AMQ,SC-TWA-0002,A,0,41.00092943489805
BKL,SC-SUS-0016,A,0,53.200065777333684
BPN2,SC-TRN-0008,A,0,31.575885995384883
BKL,SC-CLG-0008,A,0,30.11358788432415
SMG,SC-TWA-0002,A,0,22.80876144809937
YGY,SC-SUS-0024,A,0,20.73725540878792
SMD,SC-ELC-0009,A,0,41.91490793551893
JKT,SC-ENG-0002,A,0,38.847357654711516
GTO,SC-ELC-0011,A,0,33.24517147129212
MLG,SC-CLG-0004,A,0,28.026815229296513
TRK,SC-ELC-0003,A,1,43.980435490146746
JAY,SC-BRK-0003,A,1,33.31429905244055
BJM,SC-BRK-0003,A,1,45.64001768790421
SMD,SC-TRN-0004,A,1,37.715568232556116
BJM,SC-HYD-0010,A,1,35.43739635152074
SMG,SC-SUS-0008,A,1,26.399711053547602
BPN2,SC-BRK-0010,A,1,28.584388758902623
SMG,SC-ELC-0011,A,1,47.38871351504182
PKU,SC-CLG-0008,A,1,32.857142857142854
MDN,SC-TRN-0008,A,1,28.01519468186135
KPG,SC-TRN-0009,B,0,58.21904879752425
TRK,SC-ENG-0007,B,0,127.4463056113353
LHK,SC-SUS-0022,B,0,89.9672149323014
PLB,SC-ELC-0008,B,0,62.05192856295051
PTK,SC-TRN-0012,B,0,59.91646010629881
BPN2,SC-FLT-0013,B,0,146.75709451640864
SRG,SC-FUE-0002,B,0,45.1319816590253
MDN,SC-SUS-0022,B,0,61.84725366647271
PTK,SC-ENG-0005,B,0,87.97597237878321
MLG,SC-TRN-0001,B,0,66.34807411157907
BJM,SC-TRN-0012,B,1,85.38022648450868
SRG,SC-HYD-0003,B,1,139.7431784065873
CRB,SC-FUE-0003,B,1,80.00000000000001
MND,SC-SUS-0001,B,1,58.49881189439673
BTH,SC-FLT-0006,B,1,83.49320176205111
SMG,SC-TRN-0016,B,1,53.91180969717323
SMD,SC-HYD-0001,B,1,80.71349757102115
MLG,SC-FUE-0002,B,1,50.79229558047611
MTR,SC-CLG-0007,B,1,60.881074637046474
MND,SC-TWA-0004,B,1,49.24752586271433
PKU,SC-ENG-0004,C,0,107.6114040887723
SBY,SC-HYD-0011,C,0,101.27812667705625
SRG,SC-SUS-0023,C,0,346.2291094031267
DPS,SC-ENG-0009,C,0,136.91617793209173
BTH,SC-SUS-0011,C,0,117.4839806326028
KDI,SC-FLT-0004,C,0,165.7029479363589
BTH,SC-SUS-0023,C,0,157.01485517889822
CRB,SC-SUS-0005,C,0,97.97079754718823
JKT,SC-HYD-0009,C,0,115.67348722245443
MLG,SC-ELC-0006,C,0,100.0
BDG,SC-ENG-0011,C,1,120.09383119957594
SMG,SC-SUS-0003,C,1,234.66385237363446
MKS,SC-SUS-0011,C,1,643.8598128199877
PLU,SC-ENG-0009,C,1,271.38896766156273
DPS,SC-FUE-0014,C,1,154.57517294385514
SMD,SC-ENG-0001,C,1,220.34234132090992
SRG,SC-SUS-0019,C,1,116.76167553723806
MRK,SC-ENG-0013,C,1,233.42125385206032
BPN2,SC-TWA-0013,C,1,96.83408697097353
SBY,SC-TWA-0011,C,1,117.7431759569364
YGY,SC-FLT-0014,D,0,161.3035004442782
BTH,SC-FUE-0007,D,0,
LHK,SC-BRK-0008,D,0,108.99187654942257
BJM,SC-FUE-0008,D,0,
SMD,SC-ENG-0010,D,0,207.60493513349695
PDG,SC-ENG-0015,D,0,
KDI,SC-FUE-0006,D,0,
KDI,SC-ENG-0010,D,0,242.4255610498289
KPG,SC-BRK-0008,D,0,558.8827189733761
KPG,SC-TWA-0005,D,0,849.9864864864865
PDG,SC-SUS-0012,D,1,114.51904738290315
BKL,SC-FUE-0012,D,1,
BDG,SC-FUE-0008,D,1,
PTK,SC-ENG-0010,D,1,159.38764229696608
MND,SC-FUE-0012,D,1,204.03639371381308
MRK,SC-FUE-0012,D,1,227.08443392197591
DPS,SC-SUS-0012,D,1,
KPG,SC-ENG-0015,D,1,
SMG,SC-FLT-0014,D,1,118.14409207290792
BKL,SC-TWA-0005,D,1,
