Branch_ID,Part_Number,Rank,Sector_Match,WAPE_SARIMA,WAPE_SARIMAX
AMQ,SC-TWA-0002,A,0,30.310578153104622,33.65330756537864
BKL,SC-SUS-0016,A,0,59.529970652859575,
BPN2,SC-TRN-0008,A,0,56.68045837885889,57.644825960720866
BKL,SC-CLG-0008,A,0,35.76630671427512,31.047772070297658
SMG,SC-TWA-0002,A,0,26.612504465060166,25.652563598234607
YGY,SC-SUS-0024,A,0,26.8520003582174,
SMD,SC-ELC-0009,A,0,66.55251032028585,
JKT,SC-ENG-0002,A,0,31.54628335753906,29.818011820314428
GTO,SC-ELC-0011,A,0,35.914017000202584,36.25496637498171
MLG,SC-CLG-0004,A,0,41.39814704084573,
TRK,SC-ELC-0003,A,1,41.35277101193853,42.967004442811245
JAY,SC-BRK-0003,A,1,72.5534844492014,69.42614033874166
BJM,SC-BRK-0003,A,1,50.318338912067375,50.248861684310164
SMD,SC-TRN-0004,A,1,212.93092298949463,203.18377659225834
BJM,SC-HYD-0010,A,1,30.810852445922794,28.80113141666618
SMG,SC-SUS-0008,A,1,26.85872553006245,27.0644233920713
BPN2,SC-BRK-0010,A,1,43.412276915997246,47.364395380113
SMG,SC-ELC-0011,A,1,131.49841789006928,186.38774992326952
PKU,SC-CLG-0008,A,1,42.838735534218294,40.05339218211982
MDN,SC-TRN-0008,A,1,226.98406173871354,227.28826964615703
KPG,SC-TRN-0009,B,0,88.07568097272139,84.719053153346
TRK,SC-ENG-0007,B,0,430.51602568200724,308.86820218315256
LHK,SC-SUS-0022,B,0,112.9187545603381,
PLB,SC-ELC-0008,B,0,71.62884223486023,
PTK,SC-TRN-0012,B,0,74.30604951545678,67.67947419763944
BPN2,SC-FLT-0013,B,0,2304.4586054741085,51066091.65987406
SRG,SC-FUE-0002,B,0,96.60146289030104,97.13652169146013
MDN,SC-SUS-0022,B,0,97.48587446967709,
PTK,SC-ENG-0005,B,0,82.63745333126295,
MLG,SC-TRN-0001,B,0,95.55067420426592,95.93985214295593
BJM,SC-TRN-0012,B,1,114.32679258597089,120.45028412508421
SRG,SC-HYD-0003,B,1,173.3648033012745,382.5838225041837
CRB,SC-FUE-0003,B,1,111.72695442137692,109.62446232777458
MND,SC-SUS-0001,B,1,61.64782904724135,62.57592826044822
BTH,SC-FLT-0006,B,1,88.3426210576859,88.49440325309078
SMG,SC-TRN-0016,B,1,73.2695366789567,74.43913812901367
SMD,SC-HYD-0001,B,1,92.38600465153853,132.1505167026734
MLG,SC-FUE-0002,B,1,40.439424188132065,46.78322349809235
MTR,SC-CLG-0007,B,1,65.92788001793252,97.9469245310169
MND,SC-TWA-0004,B,1,71.28677857620302,89.80688606065812
PKU,SC-ENG-0004,C,0,164.64412813492063,168.49130849844443
SBY,SC-HYD-0011,C,0,108.0997732648295,108.2219037587408
SRG,SC-SUS-0023,C,0,439.27698347999194,
DPS,SC-ENG-0009,C,0,219.4686269421147,230.4277369045947
BTH,SC-SUS-0011,C,0,120.13264398445686,120.91264763791641
KDI,SC-FLT-0004,C,0,222.94905205381238,
BTH,SC-SUS-0023,C,0,239.15771897918617,
CRB,SC-SUS-0005,C,0,106.64497593934024,105.09857302221988
JKT,SC-HYD-0009,C,0,134.37785031839024,133.95239699333501
MLG,SC-ELC-0006,C,0,101.51673849728652,102.59809895239526
BDG,SC-ENG-0011,C,1,197.2478465264135,196.08501926095755
SMG,SC-SUS-0003,C,1,264.53727539085736,291.5621769774121
MKS,SC-SUS-0011,C,1,1558.8707716623844,1400.9748317540593
PLU,SC-ENG-0009,C,1,298.008525617159,306.25938378713715
DPS,SC-FUE-0014,C,1,157.05450474922512,162.36212284795795
SMD,SC-ENG-0001,C,1,634.6782299747734,552.9500188549799
SRG,SC-SUS-0019,C,1,92.45492272970642,124.10918832979314
MRK,SC-ENG-0013,C,1,230.7342595790571,192.94224645903552
BPN2,SC-TWA-0013,C,1,86.59712713499677,85.56317198297131
SBY,SC-TWA-0011,C,1,137.16069742455673,134.93394231109264
YGY,SC-FLT-0014,D,0,250.63719487111064,268.78911974696916
BTH,SC-FUE-0007,D,0,,
LHK,SC-BRK-0008,D,0,202.57783904920706,220.06964950847063
BJM,SC-FUE-0008,D,0,,
SMD,SC-ENG-0010,D,0,596.3748505324373,549.2128369441757
PDG,SC-ENG-0015,D,0,,
KDI,SC-FUE-0006,D,0,,
KDI,SC-ENG-0010,D,0,298.931854460844,310.69902185445596
KPG,SC-BRK-0008,D,0,682.3699708237641,861.5499387759105
KPG,SC-TWA-0005,D,0,512.490625631227,374.26847408773057
PDG,SC-SUS-0012,D,1,330.82117933213254,303.90909635788256
BKL,SC-FUE-0012,D,1,,
BDG,SC-FUE-0008,D,1,,
PTK,SC-ENG-0010,D,1,364.87433951298607,360.5516331456279
MND,SC-FUE-0012,D,1,396.99305498660425,447.74326155064176
MRK,SC-FUE-0012,D,1,452.25314371372633,453.70997252620634
DPS,SC-SUS-0012,D,1,,
KPG,SC-ENG-0015,D,1,,
SMG,SC-FLT-0014,D,1,173.60658702590618,182.21877318748557
BKL,SC-TWA-0005,D,1,,
